Review,Rating,Sentiment;Label;;
the best kimchi rasanya enakkk ori nya enak yang manis juga enak pingin cobain yang pedas hihihiii mantul,5, ;P;;
seller ramah fast respon packing rapi kualitas produk baik pengiriman cepat,5, ;P;;
terima kasih barang telah kami terima dengan kondisi bagus,5, ;P;;
enakkk rasanya,5, ;P;;
pengiriman cepat rasanya enak,5, ;P;;
enak rasanya pengiriman cepat terimakasih seller,5, ;P;;
respon baik proses dan pengiriman cepat,5, ;P;;
packaging aman barang lengkap kemasan bagus pengiriman juga cepat nanti order lagi yaa,5, ;P;;
puas dengan packingan aman tapi sayang sekali sangat kecewa dengan kerja sama ekspedisi anter aja dengan tokopedia saya menggunakan jasa anter aja next day pesan dari tanggal 24 di track ktnya tggl 25 jam 8 pagi sudah menuju diantar ke buyer tapi apapaket baru sampai tanggal 27 itupun dari tanggal 25 saya telfon cs anter aja dan responnya hanya saya bantu laporkan ya kak oke ditgg tanggal 26 dan belum dtg jg saya telfon lagi ke cs nya dan hanya terucap ucapan yg sama tanggal 27 pagi saya telfon lagi dgn keadaan memaki krn sy pesawat saya balik ke makassar itu siang menuju sore saya telfon cs 3 kali dengan komplain yg sama akhirnya jam 11 paket baru datang tidak puas dengan ekspedisi anter aja pembeli menggunakan jasa next day karena ada yg trburu,4, ;N;;
kemasan baik trims,5, ;P;;
uenak tenan,5, ;P;;
sipp,5, ;P;;
makasih banyak seller,5, ;P;;
mantap pengemasan dan pengiriman cepet terimakasih sellee dan shopee,5, ;P;;
biar bintang yg berbicara pokoknya mantap deh,5, ;P;;
enak banget paling enak yang rasa green tea recommend banget,5, ;P;;
rasa oke packaging agak bocor,4, ;N;;
surprisingly enak banget kimchinya ngga pedas dan asemnya juga pas lengkap isinya yummy,5, ;P;;
enak kimchinya rasa asem pedesnya sopan ndak berlebihan seger cocok sama lidah lokal juga ndak ada rasa pahit sperti kimchi kemasan di swalayan kebanyakan kemasan bagus box plastiknya pecah mungkin kesalahan di ekspedisi dalam handle paketnya tapi ndak masalah kok kimchinya aman ndak tumpah overall okelah puas blanjanya seller juga juga ramah produknya enak sukses lapaknya juragan mimin,5, ;P;;
cepet banget ngirimnya order malam pagi udah datang rasanya juga enakm pedesnya pas ga asem juga ending ga pahit suka bisa buat campuran masakan ataupun camilan,5, ;P;;
kiriman cepat kimchi nya pun enak makasi sisss,5, ;P;;
enak recommended kwalitas bagus,4, ;P;;
good sudah langganan,5, ;P;;
the package was proper wrapped and the taste was really good i will order it again for sure,5, ;P;;
karena udah ternama ngga pernah mengecewakan tokonya sangat menjaga layanan yah luar biasa,5, ;P;;
cepat sampai paking rapi cm satu teri kurang segar ya,5, ;N;;
pengiriman lmaa,3, ;N;;
pengiriman cepat sesuai pesanan recommended seller,5, ;P;;
jika pengiriman lebih cepat akan sangat memuaskan,5, ;N;;
oke sesuai dengan gambar,5, ;P;;
makasssssiiihhhh enak abiz ini teri brasa ovennya ndak eneg minyak mantab dah,4, ;P;;
kesukaan anak lanang selalu belinya disini deh,5, ;P;;
pembelian ke 3 kalinya,5, ;P;;
pembelian ke 2 disini enak bangettt,5, ;P;;
like usual special bu rudy,5, ;P;;
teri nya ga melempem walau udah seminggu kurang pedas dikit,5, ;P;;
barang diterima sesuai pesanan,5, ;P;;
produk sesuai dan pengiriman lumayan cepat dan rapi,5, ;P;;
enak sesuai pesanan,5, ;P;;
packing sangat bagus sampai di tujuan dengan baik terinya gurih enak bener,5, ;P;;
kurir nya ramah barang cepat sampai tetapi barang nya tidak sesuai dengan pesanan yg saya pesan warna biru yang dikirim warna pink,1, ;N;;
paket otak2 bandeng tiba tadi sore jam 5 sore dikirim kemaren siang alhamdulillaah masih ada 3 potong es belum mencair total es nya jadi bandengnya masih bagus dimkn utk buka puasa tq enak sukaa agak pedas dikit tq yaa beli 2,5, ;P;;
pengemasan aman pengiriman cepat bandeng tetap fresh,5, ;P;;
barang cepat dan enak,5, ;P;;
response seller baik dan proses delivery cepat pesanan sudah diterima dalam kondisi baik sesuai order,5, ;P;;
overall ikannya enak manis gurih pedasnya pas ketika dibuka sedikit berlendir mungkin karena kepanasan dan kelamaan waktu dikirim pengiriman agak lama 1 minggu karena ada kejadian styrofoam rusak,5, ;N;;
rasanya mantul penjualnya ramah fast respon,5, ;P;;
mantul sesuai pesanan thanks ya gan,5, ;P;;
respon chat packing baik terima kasih,5, ;P;;
zzzzzzzzzzz,5, ;N;;
sesuai deskripsi pelapak super responsif dan profesional,5, ;P;;
beresssss cepat mantap dendeng nya tebal tapi empuk mantaaaaaapppp,5, ;P;;
packing selalu rapi pengiriman juga cepat sdh bbrp kali beli enakkkkkkk terimakasih banyak pak gbu,5, ;P;;
mantap cepat thank u,5, ;P;;
terimakasih banyak enakkkkkkk packing rapi pengiriman cepat sdh beli kesekian kalinya tuhan yesus memberkati amin,5, ;P;;
enak buangettttt sipp deh pokoke,5, ;P;;
dendeng sapi nya sesuai dengan pesanan,5, ;P;;
sangat puas sdh beli ke sekian kalinya packing sangat rapih sampai sangat cepat pokoknya mantul deh terima kasih banyak seller selamat natal tuhan yesus memberkati amin,5, ;P;;
packing sangat rapi pengiriman cepat dan rasa enak,5, ;P;;
sudah langganan enakkkkk packing rapih makasih banyak ya tuhan yesus memberkati sukses selalu,5, ;P;;
expired nya lumayan cepet ya dikasinya juli 2021 semoga belum keburu apek rasanya dan sebelum juli sudah habis soalnya anak kos jadi dikonsumsi sendiri,4, ;N;;
udah di kasih keterangan original dan rumput laut tp yg datang bbq,3, ;N;;
kurang sedap kurang kerasa ikan nya,3, ;N;;
paket keterima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5, ;P;;
udah dtg thx y,5, ;P;;
paket keterima dg baiikk sellau pesan d sini krn kesenangan orgtua trmksh ya kak sukses selalu dn tambah byk pelanggan nya,5, ;P;;
paket keterima dg baik pakingan dg kardus rasa tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses selalu,5, ;P;;
enak baru dateng udah dicemil in,5, ;P;;
tidak ada yg buat sy suka barangnya kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4, ;N;;
agak terlalu kering ya tempenya kemasan ga ada labelnya bu rudy seperti di gambar,4, ;N;;
kenapa prosesnya lama ya apa tidak ready,1, ;N;;
good product good seller,5, ;P;;
maaf aga keras ya bumbunya krg brasa tks,3, ;N;;
sampenya cepet dan rapi belom dicobain,5, ;P;;
bau amis,2, ;N;;
barang diterima sesuai photo pesanan packing ckp rapi aman cepat nyampe nya jg makasih seller,5, ;P;;
barang sudah diterima tapi belum dimasak,5, ;P;;
enak suka ikannya,5, ;P;;
enak lain kali beli lagi trimakasih gan,5, ;P;;
cocok semuanya thx ya,5, ;P;;
rasanya pas d lidah,5, ;P;;
sesuia dengan pesanan thanks,5, ;P;;
cpt bgt sampe nya gaada 1 jam uda sampesuka bgt salad nyaa,5, ;P;;
mantap enak banget langsung abis,5, ;P;;
enak saladnya creamy kuahnya seller ramah sampainya jg tepat waktu thx alot ya anak sy suka salad nya,5, ;P;;
suuuukkkkaaaaa,5, ;P;;
mantulll sekali selalu langganan beli salad disini,5, ;P;;
akuratt patent service excellence rasa ciamik,5, ;P;;
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah terenak,5, ;P;;
gk sempet foto dah keburu habis,5, ;P;;
mantulll rasanyapromonya sering sering juga ya meski gak promo pun tetep mantul karna seenak itu,5, ;P;;
mantaaaappppp uwenaaakkk,5, ;P;;
pesannya keju spesial yg dikirim coklat keju,4, ;N;;
produk ok lain kali kalau serahkan barang ke kurir jangan terlalu malam karena sampainya ke penerima jadi molor 1 hari,4, ;N;;
alhamdulillah sampai tepat waktu sblm buka puasa mksh kartika sari,5, ;P;;
barang sampe hanya saja pengiriman agak lama rasanya pun ya lumayan lah terimakasih,5, ;N;;
enak neh psg molennya packing rapi thks yah,5, ;P;;
packingnya mantap sih,5, ;P;;
barang sudah diterima sesuai pesanan thanks,5, ;P;;
rasanya enak karena beli langsung dari seller nya,5, ;P;;
pesanan sampai tepat waktu makasih seller dan kurir sicepat,5, ;P;;
favorite istri dikirim buat hampers ramadhan suka semua,5, ;P;;
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5, ;P;;
pengiriman tercepat se asia tenggara terima kasih,5, ;P;;
luar biasa,5, ;P;;
udh bbrp kali beli disini rasa sei nya enak bgt pasti order berkali kali lagi nih,5, ;P;;
langsung di cobain enak mantap sambelnya jos,5, ;P;;
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5, ;P;;
nice perfecto barang d terima dengan sangat baik respon cepat pengiriman cepat pelayanan cepat dan ramah buat agan2 yg lain pokoknya gak usah ragu deh dengan boss yg satu ini dijamin memuaskan terima kasih dan sukses terus bossque,5, ;P;;
tq brg cpt nyampe dan enak,4, ;P;;
lumayan enak namun sayang nggak free ongkir katanya bs next day namun 2 hari setelah pesan baru sampai,4, ;N;;
alhamdulillah sampai tepat waktu sebelum buka puasa,5, ;P;;
puassssssssssssss dikirimnya ke pacarku krn pacarku suka bangettt,5, ;P;;
mantap pisangnya,5, ;P;;
pengemasan bagus hanya saya pesan jumat jd baru dikirim senin karena sabtu libur jd baru sampai selasa malam,5, ;P;;
alhamdulillaah paket sdh datang terima kasih,5, ;P;;
rasanya enak karena beli langsung dari sellernya,5, ;P;;
puas bangettt rasanya enak porsinya bs buat 5 org lebih penampakan bagus kereeen mantul bgtt,5, ;P;;
ldr sm kluarga jd kirim tumpeng buat buka puasa alhamdulillah pd blg makanannya enak dan byk sambelny jg mantep thank you yaaa sukses slalu,5, ;P;;
enak dan tampilan bagus terimakazih,5, ;P;;
enaaak banget rasanya cocok sama taste kita,5, ;P;;
bagus tumpengnya lmyn byk utk porsi 5 org pengiriman jg ontime,5, ;P;;
puas porsi cukup rasa enak seller responsive pengiriman aman thank you,5, ;P;;
enaaaaak bgt n makasih dh bs ambil order dadakan bgt highly recommend,5, ;P;;
tumpeng nya enax bgt next psn lg thx,5, ;P;;
masakan nya enak hiasan nya juga cantik harga juga sesuai gak salah pilih pesan nasi tumpeng di sini makasih ya kak berkah dan lancar trus amin,5, ;P;;
enak rasanya walau porsi kecil pembeli baik respon ramah kurir ramah jg,5, ;P;;
alhamdulillah barangnya sudah sampai tks seller dan tokopedia seller nya korporatif good,5, ;P;;
sesuai pesanan proses cepat terima kasih,5, ;P;;
seller nya fast respon mantap,4, ;P;;
seneng bgt belanja di toko ini sellernya ramah fast respon dan sangat membantu untuk nasi briyani nya enak bgt tidak usah diragukan lagi rekomended pokoknya,5, ;P;;
sesuai pesanan terima kasih,5, ;P;;
produk bagus sesuai harga,4, ;P;;
produk sesuai etalase harga murah tapi sayang mungkin stok lama jadi ada kutunya setelah dimasak rasanya kurang kuat seller responnya bagus dan ramah,4, ;N;;
barang sesuai gambar dan deskripsi mksh,5, ;P;;
terima kasih bnyk kak,5, ;P;;
good pengiriman cepat recomended seller,5, ;P;;
nasi kuningnya cantikenak semuanya,5, ;P;;
mantap dan enak pelayanan juga super cepat dan ramah recommened seller terima kasih,5, ;P;;
enak dan lezattt terima kasih,5, ;P;;
pengalaman belanja online yang berkesan sesuai dengan harapan nasi tumpengnya pas sama selera lauk pauknya juga sama dengan orderan terima kasih atas srvis bintang 5 nya,5, ;P;;
nasi tumpengnya sampai dengan selamat dan cepat semuanya enak banget terima kasih timm catering,5, ;P;;
pelayan cepat dan tepat berasa tidak lagi belanja online deliverynya sesuai dengan jam acara untuk rasa mantap ludes des,5, ;P;;
nasi tumpengnya sudah diterima dengan baik terima kasih,5, ;P;;
nasi tumpeng berkualitas lauknya komplit ayam goreng kuning sambal ati ampla perkedel urap sayur telur balado orek tempe sambalnya paling enakkk pas banget pedesnya,5, ;P;;
penataannya rapih dan menarik garnishnya kreatif ada bunga cabe dan tulisan dari wortel untuk rasa enak wangi dan gurih rasa lauk pauknya juga pas,5, ;P;;
pelayanan cepat dan transparan keselurahan puas terutama dengan nasi kuningnya legit dan wangi lauknya juga komplit sesuai dengan orderan,5, ;P;;
nasi legit ayam gorengnya mantap cabenya pedes sesuai dengan pesanan terima kasih,5, ;P;;
nasi kuningnya mantap sesuai dengan harganya laukpauknya lengkap dan sedap,5, ;P;;
sudah diterima dengan baik terima kasih,5, ;P;;
pengiriman ontime rasa cocok dengan selera terima kasih,5, ;P;;
mantap rasanya porsi sesuai dengan harga terima kasih,5, ;P;;
enak mantap respon ok next klo ada acara bs order recomended,4, ;P;;
nasi tumpengnya diterima dengan baik terima kasih,5, ;P;;
rasa dan kualiatas nya mantap diatas ekpetasi porsinya juga sesuai dengan harganya term kasih,5, ;P;;
penjual respon cepat sesuai deskripsi recomeneddd terima kasih,5, ;P;;
manteb pollnasi kuningnya enak dan pulen banget urapnya juga tahan lama empal dan ayam gorengnya juga manteb sambalnya pedas dan enakresponnya manteb dan deliverynya pas banget sesuai dengan permintaan happy and recommended banget terima kasih blackstone,5, ;P;;
sudah 2 kali pesan di sini benar2 enak deh,5, ;P;;
enak walaupun ukurannya keliatan kecil tp bikin kenyang juga,5, ;P;;
rasanya enak banget semua lauk pauknya enak nasinya pulen dan wangi kalo ada acara keluarga pasti akan pesan lagi disini,5, ;P;;
mantaappp tepat waktu dan rekomended,5, ;P;;
