Review,Rating,Sentiment,tokenization,Review_Normalized,df_token_stemm,Review_clean
pengiriman cepat packing rapi kurir baik next order lg trm ksh seller dan tokopedia,5,Positive,"['pengiriman', 'cepat', 'packing', 'rapi', 'kurir', 'baik', 'next', 'order', 'lg', 'trm', 'ksh', 'seller', 'dan', 'tokopedia']","['pengiriman', 'cepat', 'pengemasan', 'rapi', 'kurir', 'baik', 'lanjut', 'beli', 'lagi', 'terima', 'kasih', 'seller', 'dan', 'tokopedia']","['kirim', 'cepat', 'emas', 'rapi', 'kurir', 'baik', 'lanjut', 'beli', 'lagi', 'terima', 'kasih', 'seller', 'dan', 'tokopedia']",kirim cepat emas rapi kurir beli terima kasih seller tokopedia
cepat  fresh,4,Positive,"['cepat', 'fresh']","['cepat', 'segar']","['cepat', 'segar']",cepat segar
excellent,5,Positive,['excellent'],['bermutu'],['mutu'],mutu
tumben rada asin sedikit dr biasanya hehe,4,Negative,"['tumben', 'rada', 'asin', 'sedikit', 'dr', 'biasanya', 'hehe']","['tumben', 'agak', 'asin', 'sedikit', 'dari', 'biasanya', 'hehe']","['tumben', 'agak', 'asin', 'sedikit', 'dari', 'biasa', 'hehe']",tumben asin hehe
lagi kepengen banget makan keripik yg pedes aaaa pengiriman juga cepet rasanya enak pol buat dijadiin snack makasihh,5,Positive,"['lagi', 'kepengen', 'banget', 'makan', 'keripik', 'yg', 'pedes', 'aaaa', 'pengiriman', 'juga', 'cepet', 'rasanya', 'enak', 'pol', 'buat', 'dijadiin', 'snack', 'makasihh']","['lagi', 'kepingin', 'banget', 'makan', 'keripik', 'yang', 'pedas', 'aaaa', 'pengiriman', 'juga', 'cepat', 'rasanya', 'enak', 'sangat', 'buat', 'dijadiin', 'snack', 'makasihh']","['lagi', 'kepingin', 'banget', 'makan', 'keripik', 'yang', 'pedas', 'aaaa', 'kirim', 'juga', 'cepat', 'rasa', 'enak', 'sangat', 'buat', 'dijadiin', 'snack', 'makasihh']",kepingin banget makan keripik pedas aaaa kirim cepat enak dijadiin snack makasihh
pesen ini mulu pedesnya naujubillah tapi nagih walopun bikin mencret dan bikin kapok temen yg sok sokan nyoba,5,Positive,"['pesen', 'ini', 'mulu', 'pedesnya', 'naujubillah', 'tapi', 'nagih', 'walopun', 'bikin', 'mencret', 'dan', 'bikin', 'kapok', 'temen', 'yg', 'sok', 'sokan', 'nyoba']","['pesan', 'ini', 'terus', 'pedas', 'naujubillah', 'tapi', 'ketagihan', 'walaupun', 'buat', 'mencret', 'dan', 'buat', 'kapok', 'teman', 'yang', 'sok', 'sokan', 'mencoba']","['pesan', 'ini', 'terus', 'pedas', 'naujubillah', 'tapi', 'tagih', 'walaupun', 'buat', 'mencret', 'dan', 'buat', 'kapok', 'teman', 'yang', 'sok', 'sok', 'coba']",pesan pedas naujubillah tagih mencret kapok teman sok sok coba
keripik nya sudah sampe semua komplit enak dan langganan sejati succes keripik riki,5,Positive,"['keripik', 'nya', 'sudah', 'sampe', 'semua', 'komplit', 'enak', 'dan', 'langganan', 'sejati', 'succes', 'keripik', 'riki']","['keripik', 'nya', 'sudah', 'sampai', 'semua', 'lengkap', 'enak', 'dan', 'langganan', 'sejati', 'sukses', 'keripik', 'riki']","['keripik', 'nya', 'sudah', 'sampai', 'semua', 'lengkap', 'enak', 'dan', 'langgan', 'sejati', 'sukses', 'keripik', 'riki']",keripik nya lengkap enak langgan sejati sukses keripik riki
pedes mantap,5,Positive,"['pedes', 'mantap']","['pedas', 'mantap']","['pedas', 'mantap']",pedas mantap
sudah terjamin pedasnya dan gurihnya,5,Positive,"['sudah', 'terjamin', 'pedasnya', 'dan', 'gurihnya']","['sudah', 'terjamin', 'pedasnya', 'dan', 'gurihnya']","['sudah', 'jamin', 'pedas', 'dan', 'gurih']",jamin pedas gurih
pedesnya pas cuma gak berasa singkong nya saran aja kalau pembelian  bungkus ada bonus biar makin lariss,5,Negative,"['pedesnya', 'pas', 'cuma', 'gak', 'berasa', 'singkong', 'nya', 'saran', 'aja', 'kalau', 'pembelian', 'bungkus', 'ada', 'bonus', 'biar', 'makin', 'lariss']","['pedas', 'pas', 'cuma', 'tidak', 'berasa', 'singkong', 'nya', 'saran', 'saja', 'kalau', 'pembelian', 'bungkus', 'ada', 'bonus', 'biar', 'makin', 'lariss']","['pedas', 'pas', 'cuma', 'tidak', 'asa', 'singkong', 'nya', 'saran', 'saja', 'kalau', 'beli', 'bungkus', 'ada', 'bonus', 'biar', 'makin', 'lariss']",pedas pas asa singkong nya saran beli bungkus bonus biar lariss
mantul selalu beli yang ini meski panas perut ge,5,Positive,"['mantul', 'selalu', 'beli', 'yang', 'ini', 'meski', 'panas', 'perut', 'ge']","['mantap', 'selalu', 'beli', 'yang', 'ini', 'walaupun', 'panas', 'perut', 'ge']","['mantap', 'selalu', 'beli', 'yang', 'ini', 'walaupun', 'panas', 'perut', 'ge']",mantap beli panas perut ge
enak pedes bgt asin dan gurihnya pas pengirimannya juga aman,5,Positive,"['enak', 'pedes', 'bgt', 'asin', 'dan', 'gurihnya', 'pas', 'pengirimannya', 'juga', 'aman']","['enak', 'pedas', 'banget', 'asin', 'dan', 'gurihnya', 'pas', 'pengirimannya', 'juga', 'aman']","['enak', 'pedas', 'banget', 'asin', 'dan', 'gurih', 'pas', 'kirim', 'juga', 'aman']",enak pedas banget asin gurih pas kirim aman
baso acinya serius enak banget teksturnya baso kaca khad garut banget isian ayamnya juga enak,5,Positive,"['baso', 'acinya', 'serius', 'enak', 'banget', 'teksturnya', 'baso', 'kaca', 'khad', 'garut', 'banget', 'isian', 'ayamnya', 'juga', 'enak']","['baso', 'acinya', 'serius', 'enak', 'banget', 'teksturnya', 'baso', 'kaca', 'khad', 'garut', 'banget', 'isian', 'ayamnya', 'juga', 'enak']","['baso', 'aci', 'serius', 'enak', 'banget', 'tekstur', 'baso', 'kaca', 'khad', 'garut', 'banget', 'isi', 'ayam', 'juga', 'enak']",baso aci serius enak banget tekstur baso kaca khad garut banget isi ayam enak
terima kasih barangnya sudah sampai,3,Positive,"['terima', 'kasih', 'barangnya', 'sudah', 'sampai']","['terima', 'kasih', 'barang', 'sudah', 'sampai']","['terima', 'kasih', 'barang', 'sudah', 'sampai']",terima kasih barang
enak bgt benerannagih kuah nya pedes pokoknya manteppppp,5,Positive,"['enak', 'bgt', 'benerannagih', 'kuah', 'nya', 'pedes', 'pokoknya', 'manteppppp']","['enak', 'banget', 'benerannagih', 'kuah', 'nya', 'pedas', 'pokoknya', 'manteppppp']","['enak', 'banget', 'benerannagih', 'kuah', 'nya', 'pedas', 'pokok', 'manteppppp']",enak banget benerannagih kuah nya pedas pokok manteppppp
cepat sampainya,5,Positive,"['cepat', 'sampainya']","['cepat', 'sampai']","['cepat', 'sampai']",cepat
mantapp kualitass rasa lumayan pengiriman cepatt terimakasii toko nyaaaa,4,Positive,"['mantapp', 'kualitass', 'rasa', 'lumayan', 'pengiriman', 'cepatt', 'terimakasii', 'toko', 'nyaaaa']","['mantapp', 'kualitass', 'rasa', 'lumayan', 'pengiriman', 'cepatt', 'terimakasii', 'toko', 'nyaaaa']","['mantapp', 'kualitass', 'rasa', 'lumayan', 'kirim', 'cepatt', 'terimakasii', 'toko', 'nyaaaa']",mantapp kualitass lumayan kirim cepatt terimakasii toko nyaaaa
barangnya sudah sampai barangnya sampai dalam keadaan baik,4,Positive,"['barangnya', 'sudah', 'sampai', 'barangnya', 'sampai', 'dalam', 'keadaan', 'baik']","['barang', 'sudah', 'sampai', 'barang', 'sampai', 'dalam', 'keadaan', 'baik']","['barang', 'sudah', 'sampai', 'barang', 'sampai', 'dalam', 'ada', 'baik']",barang barang
pilus cikur alot dan liat pengiriman lama,3,Negative,"['pilus', 'cikur', 'alot', 'dan', 'liat', 'pengiriman', 'lama']","['pilus', 'cikur', 'alot', 'dan', 'lihat', 'pengiriman', 'lama']","['pilus', 'cikur', 'alot', 'dan', 'lihat', 'kirim', 'lama']",pilus cikur alot lihat kirim
paketnya sudah sampe makasi udah dikasi pcs bonus baso aci nya,5,Positive,"['paketnya', 'sudah', 'sampe', 'makasi', 'udah', 'dikasi', 'pcs', 'bonus', 'baso', 'aci', 'nya']","['paket', 'sudah', 'sampai', 'terima kasih', 'sudah', 'diberi', 'pcs', 'bonus', 'baso', 'aci', 'nya']","['paket', 'sudah', 'sampai', 'terima kasih', 'sudah', 'beri', 'pcs', 'bonus', 'baso', 'aci', 'nya']",paket terima kasih pcs bonus baso aci nya
baso acinya enak cuma isi ayamnya gak kerasa kecil banget sih tapi untuk porsinya banyak banget,4,Negative,"['baso', 'acinya', 'enak', 'cuma', 'isi', 'ayamnya', 'gak', 'kerasa', 'kecil', 'banget', 'sih', 'tapi', 'untuk', 'porsinya', 'banyak', 'banget']","['baso', 'acinya', 'enak', 'cuma', 'isi', 'ayamnya', 'tidak', 'terasa', 'kecil', 'banget', 'sih', 'tapi', 'untuk', 'porsi', 'banyak', 'banget']","['baso', 'aci', 'enak', 'cuma', 'isi', 'ayam', 'tidak', 'asa', 'kecil', 'banget', 'sih', 'tapi', 'untuk', 'porsi', 'banyak', 'banget']",baso aci enak isi ayam asa banget sih porsi banget
pengiriman sangat cepat baru pesan kemarin   hari ini sudah sampai produk sampai dengan selamat ga ada kurang dan ga ada rusak,5,Positive,"['pengiriman', 'sangat', 'cepat', 'baru', 'pesan', 'kemarin', 'hari', 'ini', 'sudah', 'sampai', 'produk', 'sampai', 'dengan', 'selamat', 'ga', 'ada', 'kurang', 'dan', 'ga', 'ada', 'rusak']","['pengiriman', 'sangat', 'cepat', 'baru', 'pesan', 'kemarin', 'hari', 'ini', 'sudah', 'sampai', 'produk', 'sampai', 'dengan', 'selamat', 'tidak', 'ada', 'kurang', 'dan', 'tidak', 'ada', 'rusak']","['kirim', 'sangat', 'cepat', 'baru', 'pesan', 'kemarin', 'hari', 'ini', 'sudah', 'sampai', 'produk', 'sampai', 'dengan', 'selamat', 'tidak', 'ada', 'kurang', 'dan', 'tidak', 'ada', 'rusak']",kirim cepat pesan kemarin produk selamat rusak
pengiriman sangat cepat barang premium ,5,Positive,"['pengiriman', 'sangat', 'cepat', 'barang', 'premium']","['pengiriman', 'sangat', 'cepat', 'barang', 'premium']","['kirim', 'sangat', 'cepat', 'barang', 'premium']",kirim cepat barang premium
alhamdulillah barang sudah sampai mantaps kali rasanya pedas,5,Positive,"['alhamdulillah', 'barang', 'sudah', 'sampai', 'mantaps', 'kali', 'rasanya', 'pedas']","['alhamdulillah', 'barang', 'sudah', 'sampai', 'mantap', 'kali', 'rasanya', 'pedas']","['alhamdulillah', 'barang', 'sudah', 'sampai', 'mantap', 'kali', 'rasa', 'pedas']",alhamdulillah barang mantap kali pedas
klo belum habis ga bs berhenti makan ginian cuma ada yg terbuka kemasannya untung masi renyah,5,Positive,"['klo', 'belum', 'habis', 'ga', 'bs', 'berhenti', 'makan', 'ginian', 'cuma', 'ada', 'yg', 'terbuka', 'kemasannya', 'untung', 'masi', 'renyah']","['kalau', 'belum', 'habis', 'tidak', 'bisa', 'berhenti', 'makan', 'ginian', 'cuma', 'ada', 'yang', 'terbuka', 'kemasannya', 'untung', 'masih', 'renyah']","['kalau', 'belum', 'habis', 'tidak', 'bisa', 'henti', 'makan', 'ginian', 'cuma', 'ada', 'yang', 'buka', 'kemas', 'untung', 'masih', 'renyah']",habis henti makan ginian buka kemas untung renyah
mantap bgt pedesnya gak pelit bumbunya puas bgt belanja disini,5,Positive,"['mantap', 'bgt', 'pedesnya', 'gak', 'pelit', 'bumbunya', 'puas', 'bgt', 'belanja', 'disini']","['mantap', 'banget', 'pedas', 'tidak', 'pelit', 'bumbunya', 'puas', 'banget', 'belanja', 'disini']","['mantap', 'banget', 'pedas', 'tidak', 'pelit', 'bumbu', 'puas', 'banget', 'belanja', 'sini']",mantap banget pedas pelit bumbu puas banget belanja
kangen rasa terbayarkan,5,Positive,"['kangen', 'rasa', 'terbayarkan']","['kangen', 'rasa', 'terbayarkan']","['kangen', 'rasa', 'bayar']",kangen bayar
kenceng,5,Negative,['kenceng'],['cepat'],['cepat'],cepat
saya beli dari pagi pagi sekali dikirim nya malam hari luar biasa patut dapat bintang ,1,Negative,"['saya', 'beli', 'dari', 'pagi', 'pagi', 'sekali', 'dikirim', 'nya', 'malam', 'hari', 'luar', 'biasa', 'patut', 'dapat', 'bintang']","['saya', 'beli', 'dari', 'pagi', 'pagi', 'sekali', 'dikirim', 'nya', 'malam', 'hari', 'luar', 'biasa', 'patut', 'dapat', 'bintang']","['saya', 'beli', 'dari', 'pagi', 'pagi', 'sekali', 'kirim', 'nya', 'malam', 'hari', 'luar', 'biasa', 'patut', 'dapat', 'bintang']",beli pagi pagi kirim nya malam patut bintang
kacang telurnya garing dan enak respon seller cepat kl bisa packing dibungkus bubble wrap biar makin aman,5,Positive,"['kacang', 'telurnya', 'garing', 'dan', 'enak', 'respon', 'seller', 'cepat', 'kl', 'bisa', 'packing', 'dibungkus', 'bubble', 'wrap', 'biar', 'makin', 'aman']","['kacang', 'telurnya', 'garing', 'dan', 'enak', 'respons', 'seller', 'cepat', 'kalau', 'bisa', 'pengemasan', 'bungkus', 'bubble', 'pembungkus', 'biar', 'makin', 'aman']","['kacang', 'telur', 'garing', 'dan', 'enak', 'respons', 'seller', 'cepat', 'kalau', 'bisa', 'emas', 'bungkus', 'bubble', 'bungkus', 'biar', 'makin', 'aman']",kacang telur garing enak respons seller cepat emas bungkus bubble bungkus biar aman
kacang telur medan datang sesuai order rasa kacang enak fresh crispy seller responsif packing aman pake bubble wrap pengiriman cepat recommended seller,5,Positive,"['kacang', 'telur', 'medan', 'datang', 'sesuai', 'order', 'rasa', 'kacang', 'enak', 'fresh', 'crispy', 'seller', 'responsif', 'packing', 'aman', 'pake', 'bubble', 'wrap', 'pengiriman', 'cepat', 'recommended', 'seller']","['kacang', 'telur', 'medan', 'datang', 'sesuai', 'beli', 'rasa', 'kacang', 'enak', 'segar', 'renyah', 'seller', 'responsif', 'pengemasan', 'aman', 'pakai', 'bubble', 'pembungkus', 'pengiriman', 'cepat', 'recommended', 'seller']","['kacang', 'telur', 'medan', 'datang', 'sesuai', 'beli', 'rasa', 'kacang', 'enak', 'segar', 'renyah', 'seller', 'responsif', 'emas', 'aman', 'pakai', 'bubble', 'bungkus', 'kirim', 'cepat', 'recommended', 'seller']",kacang telur medan sesuai beli kacang enak segar renyah seller responsif emas aman pakai bubble bungkus kirim cepat recommended seller
enaaaakk renyah,5,Positive,"['enaaaakk', 'renyah']","['enaaaakk', 'renyah']","['enaaaakk', 'renyah']",enaaaakk renyah
terimakasih barang sudah sampai dan sesuai dengan ekspektasi,5,Positive,"['terimakasih', 'barang', 'sudah', 'sampai', 'dan', 'sesuai', 'dengan', 'ekspektasi']","['terima kasih', 'barang', 'sudah', 'sampai', 'dan', 'sesuai', 'dengan', 'harapan']","['terima kasih', 'barang', 'sudah', 'sampai', 'dan', 'sesuai', 'dengan', 'harap']",terima kasih barang sesuai harap
ok terima kasih ya,5,Positive,"['ok', 'terima', 'kasih', 'ya']","['ok', 'terima', 'kasih', 'ya']","['ok', 'terima', 'kasih', 'ya']",ok terima kasih ya
barang sampai dg baik,5,Positive,"['barang', 'sampai', 'dg', 'baik']","['barang', 'sampai', 'dengan', 'baik']","['barang', 'sampai', 'dengan', 'baik']",barang
kacangnya enak mantap,5,Positive,"['kacangnya', 'enak', 'mantap']","['kacang', 'enak', 'mantap']","['kacang', 'enak', 'mantap']",kacang enak mantap
produk packing pengiriman sip semua ueennaakkk kacangnya,5,Positive,"['produk', 'packing', 'pengiriman', 'sip', 'semua', 'ueennaakkk', 'kacangnya']","['produk', 'pengemasan', 'pengiriman', 'bagus', 'semua', 'ueennaakkk', 'kacang']","['produk', 'emas', 'kirim', 'bagus', 'semua', 'ueennaakkk', 'kacang']",produk emas kirim bagus ueennaakkk kacang
gercep bgt sellernya thank you yah,5,Positive,"['gercep', 'bgt', 'sellernya', 'thank', 'you', 'yah']","['cepat', 'banget', 'sellernya', 'terima kasih', 'kamu', 'yah']","['cepat', 'banget', 'sellernya', 'terima kasih', 'kamu', 'yah']",cepat banget sellernya terima kasih yah
mantap renyah next order lagi,5,Positive,"['mantap', 'renyah', 'next', 'order', 'lagi']","['mantap', 'renyah', 'lanjut', 'beli', 'lagi']","['mantap', 'renyah', 'lanjut', 'beli', 'lagi']",mantap renyah beli
pesanan cepat diproses packing rapi produk bagus sesuai deskripsi,5,Positive,"['pesanan', 'cepat', 'diproses', 'packing', 'rapi', 'produk', 'bagus', 'sesuai', 'deskripsi']","['pesanan', 'cepat', 'diproses', 'pengemasan', 'rapi', 'produk', 'bagus', 'sesuai', 'deskripsi']","['pesan', 'cepat', 'proses', 'emas', 'rapi', 'produk', 'bagus', 'sesuai', 'deskripsi']",pesan cepat proses emas rapi produk bagus sesuai deskripsi
mantap packingan rapi barang sesua deskripsi dan enak cepat sampai lagi seler responsif pokoknya rekomended seller,5,Positive,"['mantap', 'packingan', 'rapi', 'barang', 'sesua', 'deskripsi', 'dan', 'enak', 'cepat', 'sampai', 'lagi', 'seler', 'responsif', 'pokoknya', 'rekomended', 'seller']","['mantap', 'pengemasan', 'rapi', 'barang', 'sesuai', 'deskripsi', 'dan', 'enak', 'cepat', 'sampai', 'lagi', 'penjual', 'responsif', 'pokoknya', 'rekomendasi', 'seller']","['mantap', 'emas', 'rapi', 'barang', 'sesuai', 'deskripsi', 'dan', 'enak', 'cepat', 'sampai', 'lagi', 'jual', 'responsif', 'pokok', 'rekomendasi', 'seller']",mantap emas rapi barang sesuai deskripsi enak cepat jual responsif pokok rekomendasi seller
rencana buat lebaran ternyata nggak nyampe lebaran udh habis ter makan,5,Positive,"['rencana', 'buat', 'lebaran', 'ternyata', 'nggak', 'nyampe', 'lebaran', 'udh', 'habis', 'ter', 'makan']","['rencana', 'buat', 'lebaran', 'ternyata', 'nggak', 'sampai', 'lebaran', 'sudah', 'habis', 'ter', 'makan']","['rencana', 'buat', 'lebaran', 'nyata', 'nggak', 'sampai', 'lebaran', 'sudah', 'habis', 'ter', 'makan']",rencana lebaran nyata nggak lebaran habis ter makan
belum sy cb smg enak tdk tengik sukses sellu,5,Positive,"['belum', 'sy', 'cb', 'smg', 'enak', 'tdk', 'tengik', 'sukses', 'sellu']","['belum', 'saya', 'coba', 'semoga', 'enak', 'tidak', 'tengik', 'sukses', 'sellu']","['belum', 'saya', 'coba', 'moga', 'enak', 'tidak', 'tengik', 'sukses', 'sellu']",coba moga enak tengik sukses sellu
packaging perlu diperbaiki,4,Negative,"['packaging', 'perlu', 'diperbaiki']","['pengemasan', 'perlu', 'diperbaiki']","['emas', 'perlu', 'baik']",emas
biasa aja rasanya tapi penjualnya baik ramah semoga berkah ya,4,Positive,"['biasa', 'aja', 'rasanya', 'tapi', 'penjualnya', 'baik', 'ramah', 'semoga', 'berkah', 'ya']","['biasa', 'saja', 'rasanya', 'tapi', 'penjualnya', 'baik', 'ramah', 'semoga', 'berkah', 'ya']","['biasa', 'saja', 'rasa', 'tapi', 'jual', 'baik', 'ramah', 'moga', 'berkah', 'ya']",jual ramah moga berkah ya
terimakasih seller udah gag sabar buat nyobain,5,Positive,"['terimakasih', 'seller', 'udah', 'gag', 'sabar', 'buat', 'nyobain']","['terima kasih', 'seller', 'sudah', 'gag', 'sabar', 'buat', 'mencoba']","['terima kasih', 'seller', 'sudah', 'gag', 'sabar', 'buat', 'coba']",terima kasih seller gag sabar coba
proses cepat order jam   langsung dikirim dan sampai dalam waktu  jam tq seller,5,Positive,"['proses', 'cepat', 'order', 'jam', 'langsung', 'dikirim', 'dan', 'sampai', 'dalam', 'waktu', 'jam', 'tq', 'seller']","['proses', 'cepat', 'beli', 'jam', 'langsung', 'dikirim', 'dan', 'sampai', 'dalam', 'waktu', 'jam', 'terima kasih', 'seller']","['proses', 'cepat', 'beli', 'jam', 'langsung', 'kirim', 'dan', 'sampai', 'dalam', 'waktu', 'jam', 'terima kasih', 'seller']",proses cepat beli jam langsung kirim jam terima kasih seller
aman semua,5,Positive,"['aman', 'semua']","['aman', 'semua']","['aman', 'semua']",aman
sukaaaa,5,Positive,['sukaaaa'],['sukaaaa'],['sukaaaa'],sukaaaa
untuk rasanya enak dan harga terjangkau tapi pengirimannya kurang bagus soalnya nyasar,4,Negative,"['untuk', 'rasanya', 'enak', 'dan', 'harga', 'terjangkau', 'tapi', 'pengirimannya', 'kurang', 'bagus', 'soalnya', 'nyasar']","['untuk', 'rasanya', 'enak', 'dan', 'harga', 'terjangkau', 'tapi', 'pengirimannya', 'kurang', 'bagus', 'soalnya', 'nyasar']","['untuk', 'rasa', 'enak', 'dan', 'harga', 'jangkau', 'tapi', 'kirim', 'kurang', 'bagus', 'soal', 'nyasar']",enak harga jangkau kirim bagus nyasar
pake sameday jadi cepat sellernya ramah produknya oke sesuai lengkap good seller,5,Positive,"['pake', 'sameday', 'jadi', 'cepat', 'sellernya', 'ramah', 'produknya', 'oke', 'sesuai', 'lengkap', 'good', 'seller']","['pakai', 'hari yang sama', 'jadi', 'cepat', 'sellernya', 'ramah', 'produknya', 'oke', 'sesuai', 'lengkap', 'good', 'seller']","['pakai', 'hari yang sama', 'jadi', 'cepat', 'sellernya', 'ramah', 'produk', 'oke', 'sesuai', 'lengkap', 'good', 'seller']",pakai hari yang sama cepat sellernya ramah produk oke sesuai lengkap good seller
baso aci nya enak tapi sayang admin nya kurang responsif huhuu maaf ya,4,Positive,"['baso', 'aci', 'nya', 'enak', 'tapi', 'sayang', 'admin', 'nya', 'kurang', 'responsif', 'huhuu', 'maaf', 'ya']","['baso', 'aci', 'nya', 'enak', 'tapi', 'sayang', 'admin', 'nya', 'kurang', 'responsif', 'huhuu', 'maaf', 'ya']","['baso', 'aci', 'nya', 'enak', 'tapi', 'sayang', 'admin', 'nya', 'kurang', 'responsif', 'huhuu', 'maaf', 'ya']",baso aci nya enak sayang admin nya responsif huhuu maaf ya
cuankie nya alot ga garing yah lumayan rasanya,4,Positive,"['cuankie', 'nya', 'alot', 'ga', 'garing', 'yah', 'lumayan', 'rasanya']","['cuankie', 'nya', 'alot', 'tidak', 'garing', 'yah', 'lumayan', 'rasanya']","['cuankie', 'nya', 'alot', 'tidak', 'garing', 'yah', 'lumayan', 'rasa']",cuankie nya alot garing yah lumayan
ok,3,Positive,['ok'],['ok'],['ok'],ok
segel rusak karena packing tipis sekali,1,Negative,"['segel', 'rusak', 'karena', 'packing', 'tipis', 'sekali']","['segel', 'rusak', 'karena', 'pengemasan', 'tipis', 'sekali']","['segel', 'rusak', 'karena', 'emas', 'tipis', 'sekali']",segel rusak emas tipis
enak lah pokoknya,5,Positive,"['enak', 'lah', 'pokoknya']","['enak', 'lah', 'pokoknya']","['enak', 'lah', 'pokok']",enak pokok
